Item,Revenue Class,Department, Default Price ,Qty, Discounts , Avg. Sale Price , Gross Sales ,Net Sales,
DE Ruby Red,Liquor,Vodka,6.50,340,170.10,5.97,2201.50,2031.40,
DE Sweet Tea,Liquor,Vodka,6.50,59,11.00,6.37,387.00,376.00,
DE Vodka,Liquor,Vodka,6.50,28,5.00,6.32,182.00,177.00,
Domestic Buckets,Beer,Bottle Beer,15.00,14,0.00,15.00,210.00,210.00,
Domestic Pitcher,Beer,Draft Beer,8.00,1,0.00,12.50,12.50,12.50,
Don Julio Anejo,Liquor,Tequila,12.50,16,17.50,11.41,200.00,182.50,
Don Julio Blanco,Liquor,Tequila,9.50,37,0.00,8.50,314.50,314.50,
Dos XX,Beer,Bottle Beer,4.00,1095,182.51,3.79,4328.00,4145.49,
Dos XX 16oz,Beer,Draft Beer,4.50,851,58.55,4.34,3756.00,3697.45,
Dos XX 24oz,Beer,Draft Beer,6.00,991,120.08,5.88,5946.00,5825.92,
Dos XX Ranchwater,Beer,Bottle Beer,4.00,131,8.35,3.94,524.00,515.65,
"Dulce Vida Grapefriut 
",Liquor,Tequila,6.50,6,0.00,6.50,39.00,39.00,
Dulce Vida Lime,Liquor,Tequila,6.50,24,1.63,6.43,156.00,154.37,
El Jimador Blanco,Liquor,Tequila,6.75,670,173.11,6.27,4375.00,4201.89,
El Toro,Liquor,Tequila,4.00,20,0.00,4.00,80.00,80.00,
Espolon,Liquor,Tequila,7.00,53,20.65,6.61,371.00,350.35,
Fireball,Liquor,Whiskey,4.00,2507,740.96,4.03,10821.50,10080.54,
Fireball Tuesday,Liquor,Whiskey,4.00,3,0.00,4.00,12.00,12.00,
Fire&Ice,Liquor,Cocktails,6.50,1,0.00,6.50,6.50,6.50,
Five Wings,Food,Wings 'n Tenders,5.00,10,0.00,5.20,52.00,52.00,
Fountain Drink,Beverage,Unalcoholic,2.25,480,37.58,2.17,1080.00,1042.42,
Frangelico,Liquor,Liqueur,6.50,14,9.78,5.80,91.00,81.22,
Fried Cheese Sticks,Food,Starters,8.50,253,138.09,7.92,2150.50,2012.41,
Fried Green Beans,Food,Starters,7.00,44,44.70,5.98,308.00,263.30,
Fried Jalapeno Rings,Food,Starters,7.00,60,15.40,6.70,417.21,401.81,
Fries,Food,Sides,3.00,225,85.69,2.62,675.00,589.31,
Fruit Punch,Liquor,Cocktails,5.50,1,0.00,5.50,5.50,5.50,
Glenfiddich,Liquor,Whiskey,8.50,14,0.00,8.79,123.00,123.00,
Green Tea,Liquor,Cocktails,6.50,1107,145.43,6.34,7203.47,7058.04,
Grey Goose,Liquor,Vodka,9.00,22,0.00,9.27,204.00,204.00,
Grilled Cheese,Food,Kids,7.50,3,7.50,5.00,22.50,15.00,
Grilled Chicken Breast Plate,Food,Entrees,13.25,16,40.25,10.86,214.00,173.75,
Guiness,Beer,Bottle Beer,4.00,27,0.00,4.00,108.00,108.00,
Guiness 16oz,Beer,Draft Beer,5.00,398,4.25,4.26,1700.50,1696.25,
Guiness 24oz,Beer,Draft Beer,6.50,93,6.50,6.43,604.50,598.00,
Gummy Bear,Liquor,Cocktails,5.00,28,0.00,5.00,140.00,140.00,
Happy Dad,Beer,Bottle Beer,4.50,21,3.38,4.34,94.50,91.12,
Heiniken,Beer,Bottle Beer,3.75,28,0.00,3.75,105.00,105.00,
Heinken 0.0,Beer,Bottle Beer,3.50,39,2.67,3.43,136.50,133.83,
Hendricks,Liquor,Gin,9.00,2,0.00,9.00,18.00,18.00,
Hennessy,Liquor,Whiskey,9.00,68,17.65,9.01,630.00,612.35,
Herradura Sliver,Liquor,Tequila,9.00,37,20.70,8.49,335.00,314.30,
High Noon,Beer,Bottle Beer,4.50,55,4.73,4.41,247.50,242.77,
Homemade Onion Rings,Food,Starters,7.00,55,39.00,6.15,377.46,338.46,
Homemade Stuffed Jalapenos (Large),Food,Starters,10.00,142,101.42,9.15,1419.58,1318.16,
Homemade Stuffed Jalapenos (Small),Food,Starters,6.00,94,55.49,5.35,563.55,508.06,
Honey BBQ Tender Sandwich,Food,Sand & Burg,12.00,29,55.18,10.33,354.85,299.67,
Hornitos,Liquor,Tequila,7.00,83,6.30,6.92,581.00,574.70,
Hot Dog And Fries,Food,Lunch Menu,5.00,1,2.50,2.50,5.00,2.50,
House Salad,Food,Salad & Chili,5.00,21,13.21,4.51,107.87,94.66,
Hurricane,Liquor,Cocktails,5.50,2,0.00,5.50,11.00,11.00,
Import Bucket,Beer,Bottle Beer,17.00,4,0.00,17.00,68.00,68.00,
Irish Car Bomb,Liquor,Cocktails,9.00,94,5.40,8.96,848.00,842.60,
Irish Coffee,Liquor,Cocktails,9.00,1,0.00,9.00,9.00,9.00,
Jack Daniels,Liquor,Whiskey,6.75,1013,306.78,6.44,6829.25,6522.47,
Jack Fire ,Liquor,Whiskey,6.50,80,15.00,6.31,520.00,505.00,
Jager Bombs,Liquor,Cocktails,8.25,173,0.00,7.56,1308.50,1308.50,
Jagermeister,Liquor,Liqueur,7.25,343,191.73,5.81,2186.00,1994.27,
Jameson Irish,Liquor,Whiskey,7.50,1205,1494.86,6.31,9101.50,7606.64,
Jameson Orange,Liquor,Whiskey,7.50,197,335.50,5.44,1407.50,1072.00,
Jim Beam,Liquor,Whiskey,6.50,131,42.75,7.06,967.50,924.75,
Johnnie Walker Red Label,Liquor,Cocktails,8.25,3,8.25,5.33,24.25,16.00,
Jolly Rancher,Liquor,Cocktails,5.50,16,0.00,5.50,88.00,88.00,
Jose Cuervo,Liquor,Tequila,6.75,120,5.00,6.76,816.25,811.25,
Jose Cuervo Silver,Liquor,Tequila,6.75,15,5.00,6.17,97.50,92.50,
Juarez,Liquor,Tequila,4.00,3,0.00,4.00,12.00,12.00,
Karbach Cerveza,Beer,Draft Beer,4.50,24,0.36,4.49,108.00,107.64,
Karbach Cerveza 24oz,Beer,Draft Beer,6.00,7,0.00,6.00,42.00,42.00,
Kettle One,Liquor,Vodka,7.50,34,0.00,7.88,268.00,268.00,
Kettle One Citroen,Liquor,Vodka,7.50,7,15.00,5.36,52.50,37.50,
Kid's Burger,Food,Kids,7.50,4,22.50,1.88,30.00,7.50,
Kids Tendys,Food,Kids,8.50,6,4.25,7.79,51.00,46.75,
Kona 16oz,Beer,Draft Beer,4.50,51,0.00,4.35,222.00,222.00,
Kona 24oz,Beer,Draft Beer,6.00,85,0.00,6.00,510.00,510.00,
Kracken,Liquor,Rum,6.00,3,0.00,6.00,18.00,18.00,
Lalo,Liquor,Tequila,10.00,33,8.00,9.76,330.00,322.00,
Lemon Drop,Liquor,Cocktails,6.50,78,1.30,6.53,511.00,509.70,
Liquid Marijuana,Liquor,Cocktails,7.00,40,0.00,6.08,243.00,243.00,
Lone Star,Beer,Bottle Beer,3.25,108,4.50,2.99,327.50,323.00,
Long Island,Liquor,Cocktails,7.50,140,9.13,6.28,900.51,891.38,
Mac & Cheese (Kids),Food,Kids,7.50,5,13.13,4.87,37.50,24.37,
Mac N Cheese,Food,Sides,3.00,32,23.40,2.27,96.00,72.60,
Makers Mark,Liquor,Whiskey,8.25,168,64.63,8.02,1412.75,1348.12,
Malibu,Liquor,Rum,7.00,279,13.26,6.61,1857.50,1844.24,
Margarita,Liquor,Cocktails,5.50,131,9.10,6.08,805.00,795.90,
Mashed Potatoes,Food,Sides,2.75,15,5.50,2.38,41.25,35.75,
McCorormick Vanilla,Liquor,Vodka,4.00,25,0.00,4.16,104.00,104.00,
Melon Ball,Liquor,Cocktails,5.00,1,0.00,5.00,5.00,5.00,
Mexican Candy/Palenta Shot,Liquor,Cocktails,6.25,221,15.58,5.99,1339.50,1323.92,
Michelob 16 Oz,Beer,Draft Beer,3.75,1233,544.11,3.23,4519.50,3975.39,
Michelob 24oz,Beer,Draft Beer,5.50,659,33.05,5.45,3624.50,3591.45,
Michelob Ultra,Beer,Bottle Beer,3.50,1724,256.98,3.09,5581.00,5324.02,
Milagro,Liquor,Tequila,7.50,37,0.00,7.31,270.50,270.50,
Miler Highlife,Beer,Bottle Beer,3.50,177,14.70,3.42,619.50,604.80,
Miller Light 16oz,Beer,Draft Beer,3.50,2974,1013.70,3.07,10137.00,9123.30,
Miller Light 24oz,Beer,Draft Beer,5.00,1979,118.55,4.94,9895.00,9776.45,
Miller Lt,Beer,Bottle Beer,3.25,3702,502.74,2.98,11506.50,11003.76,
Modelo 24,Beer,Draft Beer,6.00,1,0.00,6.00,6.00,6.00,
Modelo Sp,Beer,Bottle Beer,4.50,928,118.91,4.09,3910.00,3791.09,
Monday Margarita,Liquor,Cocktails,4.00,5,0.00,4.00,20.00,20.00,
Moscow Mule,Liquor,Cocktails,7.50,21,0.00,7.00,147.00,147.00,
Mosiac Ipa,Beer,Draft Beer,4.50,93,15.14,4.34,418.50,403.36,
Mosiac Ipa 24oz.,Beer,Draft Beer,6.00,36,10.42,5.71,216.00,205.58,
Mr. Boston Melon,Liquor,Schnapps,4.00,6,0.00,4.00,24.00,24.00,
Mushrooms,Food,Starters,7.00,125,17.75,6.86,875.24,857.49,
Mushroom Swiss Burger,Food,Sand & Burg,12.50,82,186.68,10.55,1051.38,864.70,
New Amsterdam,Liquor,Gin,6.50,2,0.00,6.50,13.00,13.00,
Old Fashioned,Liquor,Cocktails,8.50,5,0.00,7.00,35.00,35.00,
Orange Tea,Liquor,Cocktails,6.50,168,57.10,7.14,1257.00,1199.90,
Original Chicken Wing (10),Food,Wings 'n Tenders,16.00,290,826.85,13.21,4658.00,3831.15,
Original Chicken Wings (15),Food,Wings 'n Tenders,24.00,52,52.90,23.02,1250.00,1197.10,
Original Chicken Wings (5),Food,Wings 'n Tenders,10.00,151,201.93,8.72,1518.00,1316.07,
Original Wing Combo (6),Food,Wings 'n Tenders,12.75,15,31.88,10.62,191.25,159.37,
Pacifico,Beer,Bottle Beer,4.50,8,0.00,5.00,40.00,40.00,
Parrott Bay Coconut,Liquor,Rum,5.75,46,50.75,4.78,270.75,220.00,
Patron Silver,Liquor,Tequila,9.50,255,48.12,9.09,2366.50,2318.38,
PBR,Beer,Bottle Beer,2.50,252,2.50,2.49,630.00,627.50,
Pendleton Midbright,Liquor,Whiskey,9.00,5,0.00,9.40,47.00,47.00,
Philly Cheese Steak,Food,Sand & Burg,13.00,94,128.25,11.57,1238.66,1110.41,
Pick 2 App,Food,Starters,10.00,116,83.30,9.44,1206.50,1123.20,
Pick 3 App,Food,Starters,12.00,74,60.00,11.63,943.50,883.50,
Pick 4 App,Food,Starters,14.00,1,0.00,14.00,14.00,14.00,
Pickle Chips,Food,Starters,7.00,95,20.56,6.70,663.64,643.08,
Pineapple Upside Down Cake,Liquor,Cocktails,5.50,55,1.10,5.48,302.50,301.40,
